200	0.018	0.006	0.01	0.018	0.035	0.054	
400	0.006	0.002	0.004	0.006	0.012	0.019	
600	0.004	0.001	0.002	0.004	0.007	0.011	
800	0.003	0.001	0.002	0.003	0.006	0.009	
1000	0.003	0.001	0.001	0.003	0.005	0.008	
1400	0.002	0.001	0.001	0.002	0.004	0.007	
1800	0.002	0.001	0.001	0.002	0.004	0.006	
2200	0.002	0.001	0.001	0.002	0.004	0.007	
2600	0.003	0.001	0.001	0.003	0.005	0.008	
3000	0.004	0.001	0.002	0.004	0.007	0.011	
3400	0.006	0.002	0.003	0.006	0.012	0.018	
3800	0.016	0.005	0.009	0.016	0.03	0.048	
4200	0.199	0.064	0.107	0.199	0.389	0.604	
4300	0.473	0.148	0.252	0.473	0.934	1.436	
