200	0.124	0.029	0.055	0.124	0.25	0.377	
400	0.058	0.014	0.026	0.058	0.117	0.176	
600	0.035	0.008	0.016	0.035	0.07	0.105	
800	0.025	0.006	0.011	0.025	0.05	0.075	
1000	0.021	0.005	0.01	0.021	0.043	0.065	
1400	0.018	0.005	0.008	0.018	0.037	0.056	
1800	0.017	0.004	0.008	0.017	0.035	0.052	
2200	0.017	0.004	0.008	0.017	0.035	0.052	
2600	0.02	0.005	0.009	0.02	0.039	0.06	
3000	0.025	0.006	0.011	0.025	0.05	0.075	
3800	0.061	0.014	0.027	0.061	0.123	0.185	
4200	0.163	0.038	0.073	0.163	0.328	0.495	
4600	1.83	0.429	0.812	1.83	3.682	5.549	
4700	4.371	1.024	1.94	4.371	8.797	13.257	
