200	0.415	0.003	0.024	0.415	0.836	1.26	
400	0.193	0.001	0.011	0.193	0.388	0.585	
600	0.101	0.001	0.006	0.101	0.204	0.307	
800	0.116	0.001	0.007	0.116	0.234	0.352	
1000	0.126	0.001	0.008	0.126	0.254	0.382	
1400	0.114	0.001	0.007	0.114	0.229	0.345	
1800	0.064	0.0	0.003	0.064	0.129	0.195	
2200	0.069	0.0	0.004	0.069	0.139	0.21	
2600	0.089	0.001	0.005	0.089	0.179	0.27	
3000	0.136	0.001	0.008	0.136	0.274	0.412	
3400	0.277	0.002	0.015	0.277	0.557	0.84	
3800	2.809	0.021	0.151	2.809	5.652	8.518	
3900	6.013	0.043	0.322	6.013	12.1	18.235	
