200	0.063	0.0	0.003	0.063	0.127	0.191	
400	0.019	0.0	0.001	0.019	0.038	0.057	
600	0.013	0.0	0.001	0.013	0.027	0.04	
800	0.019	0.0	0.001	0.019	0.038	0.057	
1000	0.018	0.0	0.001	0.018	0.036	0.054	
1400	0.015	0.0	0.001	0.015	0.03	0.045	
1800	0.007	0.0	0.0	0.007	0.013	0.02	
2200	0.007	0.0	0.0	0.007	0.014	0.021	
2600	0.009	0.0	0.001	0.009	0.017	0.026	
3000	0.013	0.0	0.001	0.013	0.025	0.038	
3400	0.045	0.0	0.002	0.045	0.09	0.135	
3800	0.494	0.004	0.023	0.494	0.995	1.5	
3900	1.028	0.009	0.049	1.028	2.07	3.119	
