200	7.437	0.06	0.218	7.437	14.966	22.554	
400	2.492	0.021	0.072	2.492	5.015	7.558	
600	1.483	0.013	0.044	1.483	2.985	4.499	
800	1.177	0.01	0.035	1.177	2.368	3.569	
1000	1.028	0.009	0.031	1.028	2.07	3.119	
1400	0.91	0.008	0.027	0.91	1.831	2.759	
1800	0.89	0.007	0.026	0.89	1.791	2.699	
2200	0.91	0.008	0.026	0.91	1.831	2.759	
2600	1.068	0.009	0.031	1.068	2.149	3.239	
3000	1.384	0.012	0.04	1.384	2.786	4.199	
3400	2.057	0.02	0.062	2.057	4.14	6.238	
3800	4.272	0.049	0.136	4.272	8.598	12.957	
4200	32.753	0.552	1.369	32.753	65.914	99.334	
4300	56.171	1.262	2.924	56.171	113.041	170.356	
