200	1.028	0.03	0.067	1.028	2.07	3.119	
400	0.435	0.013	0.029	0.435	0.876	1.32	
600	0.247	0.007	0.016	0.247	0.498	0.75	
800	0.178	0.005	0.012	0.178	0.358	0.54	
1000	0.153	0.005	0.01	0.153	0.308	0.465	
1400	0.138	0.004	0.009	0.138	0.279	0.42	
1800	0.124	0.004	0.008	0.124	0.249	0.375	
2200	0.126	0.004	0.008	0.126	0.254	0.382	
2600	0.138	0.004	0.009	0.138	0.279	0.42	
3000	0.153	0.005	0.011	0.153	0.308	0.465	
3800	0.247	0.011	0.022	0.247	0.498	0.75	
4200	0.455	0.027	0.053	0.455	0.915	1.38	
4600	3.797	0.33	0.628	3.797	7.642	11.517	
4700	9.494	0.871	1.646	9.494	19.106	28.793	
