200	0.015	0.005	0.008	0.015	0.031	0.047	
400	0.007	0.002	0.004	0.007	0.014	0.021	
600	0.004	0.001	0.002	0.004	0.008	0.013	
800	0.003	0.001	0.002	0.003	0.006	0.01	
1000	0.003	0.001	0.002	0.003	0.006	0.009	
1400	0.002	0.001	0.001	0.002	0.005	0.007	
1800	0.002	0.001	0.001	0.002	0.005	0.007	
2200	0.002	0.001	0.001	0.002	0.005	0.007	
2600	0.003	0.001	0.001	0.003	0.006	0.009	
3000	0.004	0.001	0.002	0.004	0.007	0.011	
3400	0.006	0.002	0.003	0.006	0.012	0.018	
3800	0.016	0.005	0.008	0.016	0.032	0.048	
4200	0.189	0.053	0.095	0.189	0.381	0.574	
4300	0.415	0.117	0.208	0.415	0.836	1.26	
