200	632.911	21.015	107.063	632.911	1273.706	1919.506	
400	256.646	4.261	22.007	256.646	516.488	778.36	
600	126.978	2.108	10.888	126.978	255.537	385.101	
800	112.5	1.868	9.647	112.5	226.401	341.192	
1000	107.832	1.79	9.246	107.832	217.008	327.036	
1400	120.411	1.999	10.325	120.411	242.322	365.186	
1800	152.611	2.683	13.224	152.611	307.122	462.841	
2200	233.07	4.097	11.196	233.07	469.042	706.858	
2600	417.168	7.333	36.95	417.168	839.531	1265.194	
3000	632.911	19.16	95.879	632.911	1273.706	1919.506	
3400	632.911	267.009	630.053	632.911	1273.706	1919.506	
3500	632.911	613.133	630.439	632.911	1273.706	1919.506	
