200	0.015	0.007	0.01	0.015	0.025	0.042	
400	0.008	0.003	0.005	0.008	0.013	0.021	
600	0.005	0.002	0.003	0.005	0.008	0.014	
800	0.004	0.002	0.002	0.004	0.007	0.011	
1000	0.004	0.002	0.002	0.004	0.006	0.01	
1400	0.003	0.001	0.002	0.003	0.005	0.008	
1800	0.003	0.001	0.002	0.003	0.004	0.007	
2200	0.003	0.001	0.002	0.003	0.005	0.007	
2600	0.004	0.001	0.002	0.004	0.006	0.009	
3000	0.005	0.002	0.003	0.005	0.008	0.013	
3400	0.012	0.005	0.008	0.012	0.021	0.034	
3800	0.147	0.06	0.09	0.147	0.251	0.418	
3900	0.329	0.131	0.199	0.329	0.567	0.949	
